ID,Tittle,Author,Year,Format,File
1,Different,Kadek Pingetania,2017,PDF,ebook/Different.pdf
2,If You Know Who,Indriya,2018,PDF,ebook/IfYouKnowWho.pdf
3,If You Know Why,Indriya,2017,PDF,ebook/IfYouKnowWhy.pdf
4,Rumah Kaca,Pramoedya Ananta Toer,2006,PDF,ebook/RumahKaca.pdf
5,Genre Akademik dan Penulisan Artikel Jurnal: Kajian Retorika dalam Konteks Keberagaman Indonesia,Ani Rakhmawati,2025,PDF,ebook/GenreAkademikdanPenulisanArtikelJurnal.pdf
6,Di Bawah Lentera Merah,Soe Hok Gie,1999,PDF,ebook/DiBawahLenteraMerah.pdf
7,Tentang Das Kapital Marx,Frederick Engels,2007,PDF,ebook/DasKapital.pdf
8,Why Nations Fail,Daron Acemoglu dkk,2012,PDF,ebook/WhyNationsFail.pdf
9,Mengembalikan Hak Umat,Amin Sudarsono,2012,PDF,ebook/MengembalikanHakUmat.pdf
10,Inteligensia Muslim dan Kuasa,Yudi Latif,2012,PDF,ebook/InteligensiaMuslimdanKuasa.pdf
